FIPS,yield,Year,lat,lon,Precipitation January,Precipitation February,Precipitation March,Precipitation April,Precipitation May,Precipitation June,Precipitation July,Precipitation August,Precipitation September,Precipitation October,Precipitation November,Precipitation December,Average Temperature January,Average Temperature February,Average Temperature March,Average Temperature April,Average Temperature May,Average Temperature June,Average Temperature July,Average Temperature August,Average Temperature September,Average Temperature October,Average Temperature November,Average Temperature December,Maximum Temperature January,Maximum Temperature February,Maximum Temperature March,Maximum Temperature April,Maximum Temperature May,Maximum Temperature June,Maximum Temperature July,Maximum Temperature August,Maximum Temperature September,Maximum Temperature October,Maximum Temperature November,Maximum Temperature December,Minimum Temperature January,Minimum Temperature February,Minimum Temperature March,Minimum Temperature April,Minimum Temperature May,Minimum Temperature June,Minimum Temperature July,Minimum Temperature August,Minimum Temperature September,Minimum Temperature October,Minimum Temperature November,Minimum Temperature December,Heating Degree Days January,Heating Degree Days February,Heating Degree Days March,Heating Degree Days April,Heating Degree Days May,Heating Degree Days June,Heating Degree Days July,Heating Degree Days August,Heating Degree Days September,Heating Degree Days October,Heating Degree Days November,Heating Degree Days December,Cooling Degree Days January,Cooling Degree Days February,Cooling Degree Days March,Cooling Degree Days April,Cooling Degree Days May,Cooling Degree Days June,Cooling Degree Days July,Cooling Degree Days August,Cooling Degree Days September,Cooling Degree Days October,Cooling Degree Days November,Cooling Degree Days December,crop
01001,32.0,1995,32.536152921436546,-86.64119616803883,4.95,5.11,4.29,4.76,1.68,2.54,3.2,2.94,3.65,9.15,4.65,6.61,46.4,49.2,59.8,64.2,73.7,76.1,82.5,82.7,75.2,64.4,50.2,45.3,57.0,61.1,70.9,77.9,85.9,88.1,94.6,93.4,87.5,76.3,62.2,55.8,35.7,37.2,48.8,50.5,61.6,64.0,70.5,72.0,62.8,52.6,38.2,34.7,590.0,451.0,209.0,85.0,0.0,0.0,0.0,0.0,0.0,100.0,443.0,611.0,13.0,7.0,50.0,61.0,276.0,333.0,544.0,550.0,305.0,83.0,0.0,0.0,Wheat
01047,31.0,1995,32.32775693654059,-87.10810973466297,4.88,4.37,4.95,4.96,2.13,2.74,2.76,4.84,3.5,9.59,5.16,6.76,46.9,49.6,60.3,64.3,73.7,76.2,82.7,82.8,75.5,64.9,51.3,46.2,56.7,61.0,70.6,77.2,85.0,87.5,94.0,92.8,87.5,76.4,62.8,55.9,37.2,38.3,50.0,51.3,62.4,64.8,71.3,72.7,63.6,53.5,39.8,36.5,574.0,438.0,200.0,85.0,0.0,0.0,0.0,0.0,0.0,91.0,411.0,583.0,14.0,8.0,54.0,63.0,275.0,335.0,548.0,551.0,316.0,88.0,0.0,0.0,Wheat
01051,35.0,1995,32.59769368916557,-86.14524732211959,4.12,5.16,4.24,3.54,1.52,2.99,2.1,3.01,3.82,11.01,3.97,6.68,46.4,48.9,59.2,63.3,73.5,76.0,82.6,82.5,74.6,64.4,50.2,45.1,57.6,61.0,70.8,77.3,86.1,88.0,95.0,93.2,86.4,76.5,63.0,55.9,35.1,36.8,47.5,49.3,60.8,63.9,70.1,71.8,62.9,52.3,37.5,34.2,590.0,457.0,223.0,99.0,5.0,0.0,0.0,0.0,0.0,99.0,442.0,618.0,12.0,6.0,42.0,48.0,268.0,330.0,545.0,543.0,289.0,81.0,0.0,0.0,Wheat
01063,39.0,1995,32.85187987468096,-87.95325434738002,3.27,5.28,6.08,5.81,3.03,2.66,2.42,4.51,3.02,7.06,6.15,4.47,45.9,47.7,58.6,64.4,73.3,76.2,81.8,83.6,75.0,63.7,50.0,44.8,55.5,59.3,69.6,77.0,83.9,87.3,92.8,93.5,86.5,75.6,61.3,55.1,36.3,36.1,47.6,51.8,62.6,65.1,70.9,73.6,63.4,51.8,38.8,34.6,605.0,490.0,243.0,86.0,7.0,0.0,0.0,0.0,0.0,118.0,449.0,625.0,13.0,6.0,44.0,68.0,263.0,337.0,522.0,576.0,302.0,79.0,0.0,0.0,Wheat
01065,33.0,1995,32.76016951832248,-87.63241145686936,3.56,6.03,5.83,5.95,3.42,2.73,3.13,4.81,2.63,8.92,5.34,4.45,46.0,47.8,58.8,64.1,73.4,76.2,82.0,83.4,75.1,63.9,50.3,44.6,55.6,59.2,69.5,76.6,83.9,87.0,92.9,93.1,86.5,75.4,61.7,54.8,36.4,36.3,48.1,51.6,62.8,65.4,71.0,73.7,63.6,52.4,38.9,34.3,602.0,488.0,236.0,89.0,7.0,0.0,0.0,0.0,0.0,113.0,442.0,634.0,13.0,5.0,45.0,62.0,266.0,335.0,527.0,571.0,306.0,80.0,0.0,0.0,Wheat
01085,34.0,1995,32.15945682093283,-86.65145097516154,5.31,4.89,4.25,4.52,1.71,2.87,3.19,3.58,1.87,8.99,4.37,5.99,47.1,50.2,60.2,64.7,74.1,76.5,82.4,82.5,75.8,65.5,51.0,46.4,57.9,62.3,71.2,78.0,86.2,88.3,94.4,92.9,88.1,77.3,63.3,57.0,36.2,38.2,49.2,51.4,62.0,64.7,70.5,72.0,63.5,53.6,38.7,35.7,570.0,422.0,201.0,77.0,0.0,0.0,0.0,0.0,0.0,83.0,420.0,578.0,15.0,9.0,52.0,69.0,286.0,345.0,541.0,542.0,325.0,98.0,0.0,0.0,Wheat
01101,31.0,1995,32.22060714618008,-86.20146718586345,4.86,5.3,4.46,3.81,1.54,3.38,2.3,3.04,2.49,10.18,3.51,5.97,47.3,50.2,60.1,64.2,74.2,76.6,82.4,82.5,75.5,65.6,51.0,46.1,58.6,62.4,71.5,77.8,86.8,88.5,94.6,93.0,87.6,77.6,63.7,57.0,36.0,38.0,48.7,50.6,61.7,64.8,70.3,71.9,63.3,53.6,38.4,35.2,565.0,423.0,204.0,86.0,0.0,0.0,0.0,0.0,0.0,80.0,423.0,586.0,15.0,8.0,52.0,62.0,290.0,349.0,540.0,542.0,314.0,100.0,0.0,0.0,Wheat
01003,37.0,1995,30.72586230172138,-87.72395376445844,5.89,3.75,9.21,7.14,8.01,3.86,6.74,9.53,2.8,11.11,9.24,6.2,51.2,54.0,61.5,66.1,74.7,77.4,81.7,82.5,77.2,67.9,55.9,50.8,61.6,65.6,71.2,77.1,84.6,88.0,91.2,92.0,88.1,79.1,67.8,61.5,40.8,42.4,51.8,55.0,64.8,66.9,72.2,73.0,66.4,56.6,43.9,40.1,453.0,325.0,166.0,55.0,0.0,0.0,0.0,0.0,0.0,44.0,287.0,449.0,25.0,16.0,59.0,87.0,301.0,373.0,519.0,542.0,368.0,132.0,13.0,9.0,Wheat
01013,34.0,1995,31.752936285017643,-86.68058318622563,4.89,5.2,5.49,4.93,2.79,3.26,4.39,5.61,0.61,11.64,4.72,5.28,47.1,50.1,59.7,64.2,73.1,75.9,81.3,81.2,75.6,65.5,51.5,47.0,58.5,62.9,71.2,77.5,85.5,88.0,93.6,91.8,88.2,77.9,64.4,58.1,35.7,37.3,48.1,50.8,60.7,63.8,69.0,70.7,62.9,53.0,38.6,36.0,570.0,427.0,211.0,89.0,6.0,0.0,0.0,0.0,0.0,81.0,408.0,556.0,15.0,10.0,46.0,64.0,256.0,327.0,506.0,504.0,317.0,96.0,0.0,0.0,Wheat
01129,35.0,1995,31.409447544836613,-88.20630212952089,7.33,4.16,6.78,5.58,3.97,3.12,4.94,6.93,1.37,6.42,5.39,7.76,49.2,52.0,60.7,65.4,74.4,76.6,82.3,82.5,75.6,65.1,53.1,48.3,60.2,64.9,72.1,79.7,87.0,89.4,93.6,93.3,89.0,78.5,67.2,59.6,38.2,39.1,49.2,51.0,61.8,63.8,70.9,71.6,62.2,51.8,39.0,37.1,509.0,376.0,191.0,69.0,0.0,0.0,0.0,0.0,0.0,86.0,362.0,522.0,20.0,13.0,57.0,79.0,291.0,349.0,535.0,542.0,318.0,91.0,6.0,6.0,Wheat
